path	current_status	action	reason	replacement_path	verification_command
mcp/	untracked runtime directory	move_to_development_record	Processing assets were extracted in Phase 1.5; remaining local Sheets Bridge MCP runtime is historical context.	development-record/retired-sheets-bridge/runtime/mcp/	rg -n "mcp/sheets_bridge|from sheets_bridge|import sheets_bridge|PYTHONPATH=mcp" scripts tests schemas docs references README.md SKILL.md AGENTS.md CLAUDE.md IMPLEMENTATION_MAP.html
mcp/sheets_bridge/excel_engine.py	untracked processing/runtime mixed file	rework	Real Excel validation behavior may be useful for processing and must be preserved or classified before mcp removal.	scripts/excel_engine_sample.py or neutral processing helper	python3 -m py_compile scripts/*.py
mcp/sheets_bridge/table_builder.py	untracked processing/runtime mixed file	rework	Contains Excel/spreadsheet result-table processing mixed with MCP/App host runtime concerns.	neutral table-builder processing module or scripts/tests	python3 -m unittest discover -s tests
mcp/sheets_bridge/table_flow.py	untracked processing/runtime mixed file	rework	May contain reusable table I/O processing behavior.	neutral table/dataflow processing module or scripts/tests	python3 -m unittest discover -s tests
mcp/sheets_bridge/contracts.py	untracked processing/runtime mixed file	rework	Split neutral table-build contracts from MCP/App host contracts.	schemas/ neutral processing contracts	python3 -c "import json, pathlib; [json.loads(path.read_text()) for path in sorted(pathlib.Path('schemas').glob('*.json'))]"
mcp/sheets_bridge/auth.py	untracked access runtime file	delete	Local OAuth authority belongs to Day1 MCP, not this repo.	none	test ! -e mcp
mcp/sheets_bridge/sheets_api.py	untracked access runtime file	delete	Direct Google Sheets API path belongs to Day1 MCP.	none	test ! -e mcp
mcp/sheets_bridge/mcp_server.py	untracked access runtime file	delete	Local MCP server runtime is out of active scope.	none	test ! -e mcp
mcp/sheets_bridge/http_server.py	untracked access runtime file	delete	Remote/local HTTP runtime is out of active scope.	none	test ! -e mcp
mcp/sheets_bridge/remote_auth.py	untracked access runtime file	delete	Remote auth belongs to Day1 MCP/host authority.	none	test ! -e mcp
mcp/sheets_bridge/chrome_resolver.py	untracked browser helper file	delete	Chrome selection/access helper is out of active scope.	none	test ! -e mcp
